,,,PARTE DIARIO OLPP,,,,,,,,
,,,CONSUMO ENERGIA ELECTRICA (KWh),,,,,,,,
,,,,,,,,,,,
,ACUMULADO HASTA:,,,,1/7/2013,,,,,,
,CODCLI,RUTA-FOLIO,NOMBRE DEL SERVICIO SERVICIOS,MUNICIPIO,PLAN ,PLAN DIA,CONSUMO DEL DIA,CONSUMO ACUMULADO,%(DIARIO),%(ACUMULADO),
,1,,2,3,4,5,6,7,6/5,7/4,
1,212,A04361,MNHN,HAB VIEJA,23500,758.1,786.0,5319.0,1.04,0.23,
2,632,I33040,OFIC AMA,PLAYA,11000,366.7,388.0,1961.0,1.06,0.18,
3,2458,D10200,IES COLECCIONES,BOYEROS,6300,210.0,253.0,1261.0,1.20,0.20,
4,2459,D10250,IES HERBARIO,BOYEROS,2200,73.3,88.0,369.0,1.20,0.17,
5,2460,D1300,IES BOLERA,BOYEROS,2100,70.0,59.0,295.0,0.84,0.14,
6,588,D1350,IES EDIFICIO,BOYEROS,2100,70.0,59.0,287.0,0.84,0.14,
7,770,R11240,IDO ( EDIF CENTRAL),PLAYA,2100,70.0,163.0,895.0,2.33,0.43,
8,Y13186,R27040,IDO (GEOMANTICA),PLAYA,1400,46.7,1.0,10.0,0.02,0.01,
9,Y14201,R2002,IDO - ANEXO,PLAYA,1800,60.0,9.0,61.0,0.15,0.03,
10,P34604,Q48941,IGT F # 302,PLAZA,1950,65.0,38.0,230.0,0.58,0.12,
11,P34348,Q33035,IGT # 304,PLAZA,1550,51.7,30.0,170.0,0.58,0.11,
12,P44252,I20170,IGT 13 # 409,PLAZA,3200,106.7,93.0,665.0,0.87,0.21,
13,900,E21300,ACUARIO V,PLAYA,50000,1666.7,1316.0,8113.0,0.79,0.16,
14,901,E21200,ACUARIO N,PLAYA,74000,2466.7,1809.0,11887.0,0.73,0.16,
15,LO4282,B58200,IGA (Casa Central),PLAYA,300,10.0,40.0,280.0,4.00,0.93,
16,LO4280,B58180,IGA (Carpintería),PLAYA,1900,63.3,60.0,540.0,0.95,0.28,
17,LO4103,B51028,IGA (Centro Cálculo),PLAYA,1900,63.3,50.0,380.0,0.79,0.20,
18,LO4281,B58190,IGA (Sismología),PLAYA,200,6.7,0.0,2.0,0.00,0.01,
19,LO4104,B51032,IGA (Astronomía),PLAYA,3400,113.3,50.0,410.0,0.44,0.12,
20,B39365,B45903,IGA (EST STGO VEGAS),BOYEROS,1900,63.3,5.0,117.0,0.08,0.06,
21,P66159,H05400,CEBIMAR,PLAZA,2700,90.0,144.0,676.0,1.60,0.25,
22,1249,O10800,INSMET (SEDE CENTRAL),REGLA,40330,1344.3,1544.0,9033.0,1.15,0.22,
23,B53585,B10037,INSMET (Est Met STGO VEGAS),BOYEROS,200,6.7,11.0,74.0,1.65,0.37,
24,H15191,K53881,INSMET (Galiano - Bibiloteca ),PLAZA,200,6.7,2.0,14.0,0.30,0.07,
25,P22968,K63431,INSMET (CALLE 23 - 200),PLAZA,100,3.3,2.0,14.0,0.60,0.14,
26,P22969,Q33035,INSMET (CALLE 23 - 100),PLAZA,100,3.3,2.0,14.0,0.60,0.14,
27,363,T20079,CGDC,CTRO HABANA,6200,206.7,312.0,1442.0,1.51,0.23,
28,7850,W20092,INIMET (Consulado),CTRO HABANA,11500,383.3,362.0,1915.0,0.94,0.17,
29,7849,W20202,INIMET (Industria),CTRO HABANA,4145,138.2,183.0,797.0,1.32,0.19,
30,C54382,E53500,INIMET (CERRO),CERRO,1000,33.3,40.0,176.0,1.20,0.18,
31,Y78985,K54565,INIMET (MIRAMAR),PLAYA,350,11.7,9.0,66.0,0.77,0.19,
32,P38815,S42315,OFIC ONN ( EDIF CENTRAL),PLAZA,5900,196.7,160.0,960.0,0.81,0.16,
