DPA; DESCC
21;PINAR DEL RIO
22;ARTEMISA
23;LA HABANA
24;MAYABEQUE
25;MATANZAS
26;VILLA CLARA
27;CIENFUEGOS
28;SANCTI SPIRITUS
29;CIEGO DE AVILA
30;CAMAGUEY
31;LAS TUNAS
32;HOLGUIN
33;GRANMA
34;SANTIAGO DE CUBA
35;GUANTANAMO
4001;ISLA DE LA JUVENTUD
