CODPROV;CODCLI;CRF;CLIENTE;REEUP;TARIFA;;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;"TOTAL "
30;Pal_CODCLI;F30060;"Palo Seco";6749;;;474;541;500;529;568;554;539;441;582;683;575;357;6344
30;Rad_CODCLI;580029;Radar;6749;;;2926;0;3061;3717;3870;3785;3950;3340;4029;4234;3018;2215;38144
30;Nue_CODCLI(2);450015;Nuevitas;6749;;;760;820;939;993;1018;1043;1015;767;1074;1093;901;635;11059
30;Esm_CODCLI;IX0500;Esmeralda;6749;;;578;678;601;636;663;646;701;530;877;911;766;476;8063
30;CIG_CODCLI(3);11094;CIGET;6761;;;1329;2228;2404;2445;2463;2493;2516;1765;2131;2204;2012;1985;25975
30;CIA_CODCLI;500340;CIAC;12120;;;4747;4642;4624;4890;4737;4616;4493;3394;4620;5236;5509;4565;56074
30;Sub_CODCLI;540225;Sub-Sede;;;;47;46;46;49;47;46;45;34;45;46;48;40;539
30;CIT_CODCLI(2);O71060;CITMATEL;12071;;;2407;2182;2747;2919;2766;3259;3325;2512;3447;3506;2683;1826;33578
30;"C. _CODCLI";"C. _CRF";"C. Desarrollo";12071;;;90;88;88;93;90;88;85;64;85;87;91;75;1025
30;Est_CODCLI(6);F30060(2);"Est. Sismo.";11962;;;570;557;555;587;568;554;539;407;537;546;575;476;6472
31;"C. _CODCLI(2)";123190;"C. C. Jobabo";6692;;;9;9;14;15;19;18;13;10;22;23;19;16;189
31;C.C_CODCLI;80106;"C.C Colombia";6692;;;9;9;14;15;19;18;13;10;22;23;19;16;189
31;"C. _CODCLI(3)";350514;"C. C. P.Pdre";6692;;;9;9;14;15;19;18;13;10;22;23;19;16;189
31;CIG_CODCLI(4);101691;CIGET;6761;;;3560;3482;3514;3717;3647;3554;2876;2172;3402;3278;3449;2858;39510
31;C.M_CODCLI;330500;C.Met.Prov.;6749;;;2326;2191;2654;3296;3212;3010;2588;1582;2211;2258;3018;2421;30768
31;Est_CODCLI(7);350513;"Estac. P.Pdre";6749;;;285;279;277;293;284;277;270;204;269;273;287;238;3236
31;Est_CODCLI(8);320250;"Estac. Tunas";6749;;;332;325;324;342;332;323;315;238;313;319;335;278;3775
31;Ofi_CODCLI(3);340640;"Oficina UPAL";6692;;;1044;1021;1137;1174;1137;1200;1006;747;1343;1211;1150;913;13084
31;Tal_CODCLI;10320;"Taller UPAL";6692;;;9;9;14;15;19;14;9;7;18;18;10;8;150
31;Del_CODCLI(3);360900;"Delegac. Prov.";6692;;;2089;2043;2034;2152;2198;2308;1838;1344;2162;2263;2204;1786;24420
31;"A. _CODCLI";310370;"A. Historico";6692;;;883;863;860;900;881;854;809;601;833;847;891;738;9960
31;"J. _CODCLI";460004;"J. Botanico";6692;;;1424;1393;1387;1271;1137;1108;989;815;1343;1275;1437;1270;14848
31;O.T_CODCLI;320940;O.T.N;12374;;;949;928;925;2054;2302;2400;2247;238;1074;911;958;794;15780
31;CIT_CODCLI(3);101914;CITMATEL;12071;;;2588;2525;2589;2738;2747;2677;2606;1969;2596;2641;2606;2159;30443
32;Del_CODCLI(4);491606;Delegación;9360;;;2288;2228;2589;3423;3430;3397;3037;2186;3339;3351;3114;2580;38920
32;Arc_CODCLI(5);713750;Archivo;9360;;;608;603;731;831;843;831;755;475;877;820;805;667;9820
32;Ban_CODCLI;180250;Banes;9360;;;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Nue_CODCLI(3);232170;Nueva.S;9360;;;7121;7166;7768;8411;8299;8106;7719;5095;8057;7995;8000;6613;100313
32;SEG_CODCLI;715415;"SEGEN ";7753;;;1092;1068;1063;1125;1090;1062;1033;781;1030;1047;1102;913;13500
32;Tal_CODCLI(2);153585;Taller;7753;;;237;232;231;245;237;231;225;170;224;228;240;198;2400
32;OTN_CODCLI(4);O40910;OTN;9676;;;33230;32495;32366;34231;33159;32313;31453;23760;31334;31870;33534;27788;493010
32;CMP_CODCLI(6);715570;CMP;6749;;;4300;4205;4167;4430;4377;4371;4421;3374;4029;4298;4503;3612;55809
32;J.B_CODCLI;374875;J.Botánico;9360;;;930;967;1110;1359;1412;1440;1321;883;1477;1421;1303;1080;16362
32;EII_CODCLI;930480;EIIM;9360;;;1396;1365;1572;1760;1791;1782;1618;1035;1746;1757;1725;1429;21065
32;Est_CODCLI(9);601360;Est.Velasco;6749;;;252;246;242;259;256;254;252;190;233;246;259;206;3222
32;Est_CODCLI(10);143806;Est.Jíquima;6749;;;214;209;213;220;218;217;225;183;206;219;230;183;2830
32;Est_CODCLI(11);292030;"Est. Guaro";6749;;;252;246;242;259;256;254;252;190;233;246;259;206;3222
32;Rad_CODCLI(2);O40600;Radar;6749;;;14352;14034;13908;14783;14599;14568;14711;11133;14369;14296;14966;11909;186717
33;UPS_CODCLI;3928152;UPS;6700;;;5510;5388;6014;6282;6360;5930;6228;4496;6189;6383;6365;5488;70632
33;Arc_CODCLI(6);31550635;"Arch. Maceo";6700;;;380;371;370;391;379;369;422;272;358;364;383;318;4378
33;Arc_CODCLI(7);Arc_CRF;"Arch. Saco";6700;;;95;93;92;98;95;92;117;68;90;91;96;79;1106
33;Arc_CODCLI(8);411B3240;"Arch. Mzllo";6700;;;218;214;213;225;218;212;225;156;206;209;220;183;2499
33;Arc_CODCLI(9);85610368526;"Arch. Niq.";6700;;;33;32;32;34;33;32;36;24;31;32;34;28;382
33;Arc_CODCLI(10);14811275;"Arch. Jiguaní";6700;;;33;32;32;34;33;32;36;24;31;32;34;28;382
33;"O d_CODCLI";62370653;"O de Montaña";6700;;;351;362;342;362;351;342;404;251;340;346;355;302;4108
33;Cas_CODCLI(3);39663899;"Casa Visita 1";6700;;;237;232;231;245;237;231;270;170;224;228;240;198;2742
33;Cas_CODCLI(4);39663820;"Casa de Visita 2";6700;;;47;46;46;49;47;46;90;34;45;46;48;40;584
33;Est_CODCLI(12);41860451;"Est. Mzllo";6749;;;102;99;99;105;101;99;99;73;96;100;103;85;1160
